"","SEX","AGE_GROUP","ACTIVITY","mean","sd","n"
"200","2","45-54",NA,250.959313354144,185.339315709193,661
"201","2","45-54",NA,17.0044345061209,48.8043383601993,661
"202","2","45-54",NA,56.2389368338525,72.0374204663589,661
"203","2","45-54",NA,7.41503379965141,46.1205739182173,661
"204","2","45-54",NA,229.151083055805,256.853729690631,661
"205","2","55-64",NA,7.645223220796,31.6522895537822,791
"206","2","55-64",NA,16.6584921149456,67.988904863227,791
"207","2","55-64",NA,1.40014644702733,28.3987527799836,791
"208","2","55-64",NA,59.0042447102021,43.3614962091099,791
"209","2","55-64",NA,0.210132797865255,4.42760957773311,791
"210","2","55-64",NA,162.334185954577,151.935998917737,791
"211","2","55-64",NA,0.688341916279942,6.86945265645283,791
"212","2","55-64",NA,586.563728832036,148.979878267677,791
"213","2","55-64",NA,12.2397072280608,38.8287366860811,791
"214","2","55-64",NA,6.52026330978973,32.8347673037937,791
"215","2","55-64",NA,23.1366241045127,44.5357203880404,791
"216","2","55-64",NA,8.30695264529862,32.8076222497972,791
"217","2","55-64",NA,291.103404907461,201.019174770823,791
"218","2","55-64",NA,14.8038736489985,45.7980563224991,791
"219","2","55-64",NA,49.7852520829673,66.3295481736839,791
"220","2","55-64",NA,6.64893080695799,41.5725473342557,791
"221","2","55-64",NA,182.802945805876,249.328174257981,791
"222","2","65-74",NA,6.76331843538958,40.1058289131163,840
"223","2","65-74",NA,17.9108319077672,72.2926440058466,840
"224","2","65-74",NA,1.35490309929902,12.8324689669265,840
"225","2","65-74",NA,65.9479345900027,47.2212687670314,840
"226","2","65-74",NA,0.401803308242589,7.12355656836569,840
"227","2","65-74",NA,181.654889470194,157.08623728067,840
"228","2","65-74",NA,1.49767515813524,15.72889096773,840
"229","2","65-74",NA,586.370397395579,147.145279758498,840
"230","2","65-74",NA,13.9091662978589,35.7532182929201,840
"231","2","65-74",NA,9.77613002396893,40.6705519797943,840
"232","2","65-74",NA,23.6225494865221,51.7240673715588,840
"233","2","65-74",NA,12.496636038768,42.6401514027551,840
"234","2","65-74",NA,383.531770298009,216.795965720494,840
